"text-xs","w-full href","rounded-lg src","text-sm","text-xs 2","text-lg","text-2xs","text-xs 3","w-full href 2","rounded-lg src 2","text-sm 3","text-xs 4","text-lg 2","text-2xs 3","whitespace-pre-wrap 2","w-full href 3","rounded-lg src 3","text-sm 5","text-lg 3","text-2xs 5","whitespace-pre-wrap 3","w-full href 4","rounded-lg src 4","text-sm 6","text-xs 5","text-lg 4","text-2xs 7","text-2xs 8","flex src 4","whitespace-pre-wrap 4","inline-flex src","text-xs 7","whitespace-pre-wrap 5"
"9% OFF","https://www.carrefouruae.com/mafuae/en/cakes-tarts-pastry/amc-pound-cake-choc-300gx2/p/1726681","https://cdn.mafrservices.com/pim-content/UAE/media/product/1726681/1749378003/1726681_main.jpg?im=Resize=(300,300)","Americana Chocolate Pound Cake 300g Pack of 2","AED 26.65 per Kilo","15",".99","31% OFF","https://www.carrefouruae.com/mafuae/en/cakes-tarts-pastry/7d-cake-bar-enrobed-milk-200g/p/2226793","https://cdn.mafrservices.com/pim-content/UAE/media/product/2226793/1756703404/2226793_main.jpg?im=Resize=(300,300)","7 Days Chocolate Cake Bar with Milk Filling, 200g","AED 49.95 per Kilo","9",".99","Tod. 12:00 PM","https://www.carrefouruae.com/mafuae/en/cream-desserts/almarai-custard-vanilla-85gx6/p/2262055","https://cdn.mafrservices.com/pim-content/UAE/media/product/2262055/1764389405/2262055_main.jpg?im=Resize=(300,300)","Almarai Vanilla Custard, 85g Pack of 6","8",".49","Tod. 12:00 PM","https://www.carrefouruae.com/mafuae/en/cream-desserts/yopro-prot-pudd-130gr-choco/p/2257267","https://cdn.mafrservices.com/pim-content/UAE/media/product/2257267/1773226800/2257267_main.jpg?im=Resize=(300,300)","YoPro Protein Pudding, Triple Zero Chocolate Flavoured High Protein Pudding, Fat Free Milk, 130g","AED 45.31 per Kilo","5",".89","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tod. 12:00 PM","","",""
"LOW PRICES","https://www.carrefouruae.com/mafuae/en/cream-desserts/almarai-custard-chocolate-85gx6/p/2262058","https://cdn.mafrservices.com/pim-content/UAE/media/product/2262058/1764389405/2262058_main.jpg?im=Resize=(300,300)","Almarai Chocolate Custard, 85g Pack of 6","AED 45.31 per Kilo","8",".49","","https://www.carrefouruae.com/mafuae/en/cream-desserts/yopro-prot-pudd-130gr-cookie/p/2257268","https://cdn.mafrservices.com/pim-content/UAE/media/product/2257268/1773226800/2257268_main.jpg?im=Resize=(300,300)","YoPro Protein Pudding, Triple Zero Cookies Flavoured High Protein Pudding, Fat Free Milk, 130g","AED 14.90 per Kilo","5",".89","Tod. 12:00 PM","https://www.carrefouruae.com/mafuae/en/cream-desserts/almarai-cream-caramel-100gx6/p/2262057","https://cdn.mafrservices.com/pim-content/UAE/media/product/2262057/1764389405/2262057_main.jpg?im=Resize=(300,300)","Almarai Cream Caramel, 100g Pack of 6","8",".49","Tod. 12:00 PM","https://www.carrefouruae.com/mafuae/en/cream-desserts/almarai-cream-caramel-100g/p/1076344","https://cdn.mafrservices.com/pim-content/UAE/media/product/1076344/1756703404/1076344_main.jpg?im=Resize=(300,300)","Almarai Caramel Creme, 100g","","1",".49","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tod. 12:00 PM","https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png","",""
"Choose Better","https://www.carrefouruae.com/mafuae/en/plant-based-desserts/alpro-dessert-choco-125gx4/p/1280135","https://cdn.mafrservices.com/pim-content/UAE/media/product/1280135/1745820603/1280135_main.jpg?im=Resize=(300,300)","Alpro Chocolate Plant-Based Dessert, 125g Pack of 4","AED 34.58 per Kilo","17",".29","Choose Better","https://www.carrefouruae.com/mafuae/en/plant-based-desserts/alpro-dessert-vanilla-125gx4/p/1280134","https://cdn.mafrservices.com/pim-content/UAE/media/product/1280134/1745820603/1280134_main.jpg?im=Resize=(300,300)","Alpro Vanilla Plant-Based Dessert, 125g Pack of 4","AED 34.58 per Kilo","17",".29","Only 4 left","https://www.carrefouruae.com/mafuae/en/cakes-tarts-pastry/amc-spr-roll-choco-60gx5-1/p/1726679","https://cdn.mafrservices.com/pim-content/UAE/media/product/1726679/1749378003/1726679_main.jpg?im=Resize=(300,300)","Americana Chocolate Swiss Roll, 60g Pack of 6","8",".79","Tod. 12:00 PM","https://www.carrefouruae.com/mafuae/en/cream-desserts/danette-cinnabon-90gr/p/2251479","https://cdn.mafrservices.com/pim-content/UAE/media/product/2251479/1759323607/2251479_main.jpg?im=Resize=(300,300)","Danette Cinnabon Pudding Dessert, Creamy Custard Made with 80% Milk, 90g","AED 29.30 per Kilo","2",".29","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tod. 12:00 PM","https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png","AED 25.44 per Kilo","Tod. 12:00 PM"
"","https://www.carrefouruae.com/mafuae/en/cakes-tarts-pastry/hopia-ube-langka-150g/p/2188930","https://cdn.mafrservices.com/pim-content/UAE/media/product/2188930/1723093803/2188930_main.jpg?im=Resize=(300,300)","Eng Bee Tin Ube Langka Hopia Cake, 150g","AED 96.60 per Kilo","14",".49","","https://www.carrefouruae.com/mafuae/en/mousse-snacks-compote/oreo-soft-cake-16gx4/p/1604056","https://cdn.mafrservices.com/sys-master-root/h50/h0d/13639186186270/1604056_main.jpg?im=Resize=(300,300)","Oreo Soft Cake, 16g, Pack of 4","AED 117.03 per Kilo","7",".49","Tod. 12:00 PM","https://www.carrefouruae.com/mafuae/en/cakes-tarts-pastry/amc-spr-roll-vanila-60gx5-1/p/1726680","https://cdn.mafrservices.com/pim-content/UAE/media/product/1726680/1749378003/1726680_main.jpg?im=Resize=(300,300)","Americana Vanilla Swiss Roll, 60g Pack of 6","8",".79","Tod. 12:00 PM","https://www.carrefouruae.com/mafuae/en/cakes-tarts-pastry/hopia-ube-pastilas-150g/p/2188932","https://cdn.mafrservices.com/pim-content/UAE/media/product/2188932/1723093803/2188932_main.jpg?im=Resize=(300,300)","Eng Bee Tin Ube Pastillas Hopia Cake, 150g","AED 96.60 per Kilo","14",".49","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tod. 12:00 PM","","",""
"LOW PRICES","https://www.carrefouruae.com/mafuae/en/cream-desserts/elle-vire-cream-dessert-choco-100g/p/2152240","https://cdn.mafrservices.com/pim-content/UAE/media/product/2152240/1756974607/2152240_main.jpg?im=Resize=(300,300)","Elle & Vire Cream Dessert Chocolate, 100g","AED 45.90 per Kilo","4",".59","LOW PRICES","https://www.carrefouruae.com/mafuae/en/cakes-tarts-pastry/hopia-ube-queso-150g/p/2188931","https://cdn.mafrservices.com/pim-content/UAE/media/product/2188931/1723093803/2188931_main.jpg?im=Resize=(300,300)","Eng Bee Tin Ube Queso Hopia Cake, 150g","AED 96.60 per Kilo","14",".49","Tod. 12:00 PM","https://www.carrefouruae.com/mafuae/en/cream-desserts/elle-vire-cream-dessert-coffee-100g/p/2152239","https://cdn.mafrservices.com/pim-content/UAE/media/product/2152239/1756779003/2152239_main.jpg?im=Resize=(300,300)","Elle & Vire Cream Dessert Coffee, 100g","4",".59","Tod. 12:00 PM","https://www.carrefouruae.com/mafuae/en/cream-desserts/elle-vire-creamdessert-hazelnut100g/p/2152241","https://cdn.mafrservices.com/pim-content/UAE/media/product/2152241/1757300571/2152241_main.jpg?im=Resize=(300,300)","Elle & Vire Cream Dessert Chocolate and Hazelnut, 100g","AED 45.90 per Kilo","4",".59","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tod. 12:00 PM","https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png","AED 45.90 per Kilo",""
"","https://www.carrefouruae.com/mafuae/en/cakes-tarts-pastry/st-michel-donut-choco-coated-180g/p/1632170","https://cdn.mafrservices.com/pim-content/UAE/media/product/1632170/1747134603/1632170_main.jpg?im=Resize=(300,300)","St Michel Chocolate Coated Donut, 180g","AED 108.28 per Kilo","19",".49","","https://www.carrefouruae.com/mafuae/en/cakes-tarts-pastry/st-michel-doomino-chocolate-180g/p/1923023","https://cdn.mafrservices.com/pim-content/UAE/media/product/1923023/1747134603/1923023_main.jpg?im=Resize=(300,300)","St Michel Chocolate Doomino, 180g","AED 115.50 per Kilo","20",".79","Tod. 12:00 PM","https://www.carrefouruae.com/mafuae/en/cakes-tarts-pastry/st-michel-choco-muffin-180g/p/1923025","https://cdn.mafrservices.com/pim-content/UAE/media/product/1923025/1747134603/1923025_main.jpg?im=Resize=(300,300)","St Michel Choco Muffin, 180g","23",".49","Tod. 12:00 PM","https://www.carrefouruae.com/mafuae/en/cakes-tarts-pastry/amc-spr-roll-strwbry-60gx5-1/p/1726678","https://cdn.mafrservices.com/pim-content/UAE/media/product/1726678/1749378003/1726678_main.jpg?im=Resize=(300,300)","Americana Strawberry Super Roll, 60g Pack of 6","AED 130.50 per Kilo","8",".79","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tod. 12:00 PM","","",""
"","https://www.carrefouruae.com/mafuae/en/cakes-tarts-pastry/st-michel-gal-choco-white-180g/p/1923027","https://cdn.mafrservices.com/pim-content/UAE/media/product/1923027/1747134603/1923027_main.jpg?im=Resize=(300,300)","St Michel White Chocolate Blanc, 180g","AED 126.61 per Kilo","22",".79","","https://www.carrefouruae.com/mafuae/en/cakes-tarts-pastry/st-michel-doomino-hazelnut-180g/p/1923024","https://cdn.mafrservices.com/pim-content/UAE/media/product/1923024/1747134603/1923024_main.jpg?im=Resize=(300,300)","St Michel Hazelnut Doomino, 180g","AED 115.50 per Kilo","20",".79","Tod. 12:00 PM","https://www.carrefouruae.com/mafuae/en/cream-desserts/elle-vire-crm-dess-caramel-100gr/p/797028","https://cdn.mafrservices.com/pim-content/UAE/media/product/797028/1759477068/797028_main.jpg?im=Resize=(300,300)","Elle & Vire Caramel Cream Dessert, 100g","4",".69","Tod. 12:00 PM","https://www.carrefouruae.com/mafuae/en/cream-desserts/svalya-rice-porridge-vanillin-200g/p/2150691","https://cdn.mafrservices.com/pim-content/UAE/media/product/2150691/1753323003/2150691_main.jpg?im=Resize=(300,300)","Svalya Vanillin Rice Porridge, 200g","AED 46.90 per Kilo","17",".99","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Only 4 left","","AED 89.95 per Kilo","Tod. 12:00 PM"
"","https://www.carrefouruae.com/mafuae/en/cream-desserts/svalya-rice-porridge-apricots-200g/p/2150692","https://cdn.mafrservices.com/pim-content/UAE/media/product/2150692/1753323003/2150692_main.jpg?im=Resize=(300,300)","Svalya Apricots Rice Porridge, 200g","AED 89.95 per Kilo","17",".99","","https://www.carrefouruae.com/mafuae/en/cream-desserts/svalya-rice-porridge-cherry-200g/p/2150694","https://cdn.mafrservices.com/pim-content/UAE/media/product/2150694/1753323003/2150694_main.jpg?im=Resize=(300,300)","Svalya Cherry Rice Porridge, 200g","AED 89.95 per Kilo","17",".99","Only 4 left","https://www.carrefouruae.com/mafuae/en/cakes-tarts-pastry/7d-cake-bar-enrobed-milk-400g/p/2226794","https://cdn.mafrservices.com/pim-content/UAE/media/product/2226794/1756703404/2226794_main.jpg?im=Resize=(300,300)","7 Days Chocolate Cake Bar with Milk Filling, 400g","28",".29","Tod. 12:00 PM","https://www.carrefouruae.com/mafuae/en/cream-desserts/elle-vire-crm-dess-choco-100gr/p/797027","https://cdn.mafrservices.com/pim-content/UAE/media/product/797027/1759477590/797027_main.jpg?im=Resize=(300,300)","Elle & Vire Chocolate Cream Dessert, 100g","AED 70.73 per Kilo","4",".39","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tod. 12:00 PM","","AED 43.90 per Kilo","Tod. 12:00 PM"
"","https://www.carrefouruae.com/mafuae/en/cream-desserts/elle-vire-crm-dess-vanilla-100gr/p/797026","https://cdn.mafrservices.com/pim-content/UAE/media/product/797026/1759477370/797026_main.jpg?im=Resize=(300,300)","Elle & Vire Vanilla Cream Dessert, 100g","AED 46.90 per Kilo","4",".69","","https://www.carrefouruae.com/mafuae/en/cream-desserts/svalya-semolina-porridge-strw-200g/p/2150698","https://cdn.mafrservices.com/pim-content/UAE/media/product/2150698/1753323003/2150698_main.jpg?im=Resize=(300,300)","Svalya Strawberry Semolina Porridge, 200g","AED 89.95 per Kilo","17",".99","Only 4 left","https://www.carrefouruae.com/mafuae/en/cakes-tarts-pastry/saracake-miniroll-asstd-20x20g/p/2219110","https://cdn.mafrservices.com/pim-content/UAE/media/product/2219110/1757218204/2219110_main.jpg?im=Resize=(300,300)","Sara Cake Mini Assorted Swiss Roll Cake, 20g Pack of 20","11",".99","Tod. 12:00 PM","https://www.carrefouruae.com/mafuae/en/cream-desserts/svalya-oatmeal-porridge-200g/p/2150696","https://cdn.mafrservices.com/pim-content/UAE/media/product/2150696/1753323003/2150696_main.jpg?im=Resize=(300,300)","Svalya Oatmeal Porridge, 200g","AED 29.97 per Kilo","17",".99","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tod. 12:00 PM","","AED 89.95 per Kilo","Tod. 12:00 PM"
"","https://www.carrefouruae.com/mafuae/en/cream-desserts/ehrmann-white-ch-pg200g/p/2241872","https://cdn.mafrservices.com/pim-content/UAE/media/product/2241872/1756569005/2241872_main.jpg?im=Resize=(300,300)","Ehrmann High Protein White Choc Style Pudding, 200g","AED 78.95 per Kilo","15",".79","","https://www.carrefouruae.com/mafuae/en/cream-desserts/ehrmann-van-p-200g/p/2241873","https://cdn.mafrservices.com/pim-content/UAE/media/product/2241873/1756545004/2241873_main.jpg?im=Resize=(300,300)","Ehrmann High Protein Vanilla Pudding, 200g","AED 78.95 per Kilo","15",".79","Tod. 12:00 PM","https://www.carrefouruae.com/mafuae/en/cream-desserts/ehrmann-cho-p-200g/p/2241870","https://cdn.mafrservices.com/pim-content/UAE/media/product/2241870/1756545004/2241870_main.jpg?im=Resize=(300,300)","Ehrmann High Protein Chocolate Pudding, 200g","15",".79","Only 4 left","https://www.carrefouruae.com/mafuae/en/cream-desserts/ehrmann-cal-p-200g/p/2241871","https://cdn.mafrservices.com/pim-content/UAE/media/product/2241871/1756545004/2241871_main.jpg?im=Resize=(300,300)","Ehrmann High Protein Caramel Style Pudding, 200g","AED 78.95 per Kilo","15",".79","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tod. 12:00 PM","","AED 78.95 per Kilo","Tod. 12:00 PM"
"","https://www.carrefouruae.com/mafuae/en/cream-desserts/arla-protein-pud-choc3x200g/p/2296916","https://cdn.mafrservices.com/pim-content/UAE/media/product/2296916/1778004600/2296916_main.jpg?im=Resize=(300,300)","Arla Protein Chocolate Flavour Pudding, 200g, Pack of 3","","23",".99","","https://www.carrefouruae.com/mafuae/en/cakes-tarts-pastry/loison-astucci-caffe/p/2218109","https://cdn.mafrservices.com/pim-content/UAE/media/product/2218109/1761106204/2218109_main.jpg?im=Resize=(300,300)","Loison Astucci Caffe, 200g","","32",".29","Tod. 12:00 PM","https://www.carrefouruae.com/mafuae/en/cakes-tarts-pastry/loison-astucci-canestrello/p/2218110","https://cdn.mafrservices.com/pim-content/UAE/media/product/2218110/1761106204/2218110_main.jpg?im=Resize=(300,300)","Loison Astucci Canestrello, 200g","32",".29","Tod. 12:00 PM","","","","","","","","","","","",""