"inline-flex src","text-xs","text-xs 2","w-full href","rounded-lg src","max-w-[134px] href","text-sm","text-xs 3","text-lg","text-2xs","whitespace-pre-wrap","whitespace-pre-wrap 2","text-xs 4","text-xs 5","w-full href 2","rounded-lg src 2","max-w-[134px] href 2","text-sm 2","text-xs 6","text-lg 2","text-2xs 3","w-full href 3","rounded-lg src 3","max-w-[134px] href 3","text-sm 3","text-lg 3","text-2xs 5","text-2xs 6","flex src 3","whitespace-pre-wrap 4","w-full href 4","rounded-lg src 4","max-w-[134px] href 4","text-sm 4","text-lg 4","text-2xs 7","whitespace-pre-wrap 5","whitespace-pre-wrap 6"
"https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png","LOW PRICES","BESTSELLER","https://www.carrefouruae.com/mafuae/en/fresh-herbs/herbs-coriander-premium-200g/p/1207518","https://cdn.mafrservices.com/sys-master-root/h8a/had/13787286568990/1207518_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/fresh-herbs/herbs-coriander-premium-200g/p/1207518","Premium Coriander Herbs (Dhaniya)","AED 14.45 per Kilo","2",".89","Only 2 left","Tom. 10:00 AM","LOW PRICES","BESTSELLER","https://www.carrefouruae.com/mafuae/en/fresh-herbs/parsley-premium-200g/p/1207520","https://cdn.mafrservices.com/sys-master-root/ha4/h10/10955280547870/1207520_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/fresh-herbs/parsley-premium-200g/p/1207520","Premium Parsley 200g","AED 14.45 per Kilo","2",".89","https://www.carrefouruae.com/mafuae/en/fresh-herbs/spring-onion/p/1710999","https://cdn.mafrservices.com/sys-master-root/h95/hb5/10096241803294/1710999_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/fresh-herbs/spring-onion/p/1710999","Fresh Spring Onion","0",".99","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tom. 10:00 AM","https://www.carrefouruae.com/mafuae/en/fresh-herbs/mint/p/1710998","https://cdn.mafrservices.com/sys-master-root/hfc/hc2/11146877665310/1710998_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/fresh-herbs/mint/p/1710998","Fresh Mint (Pudina)","0",".99","Tom. 10:00 AM",""
"https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png","LOW PRICES","Extra 10% off, code - FOOD10","","","https://www.carrefouruae.com/mafuae/en/fresh-herbs/rocket-gargeer/p/1711012","Fresh Rocket Leaves (Gargeer)","AED 9.90 per Kilo","0",".99","Tom. 10:00 AM","Tom. 10:00 AM","BESTSELLER","AED 14.45 per Kilo","","","https://www.carrefouruae.com/mafuae/en/fresh-herbs/curry-leave-50g-pp/p/447571","Curry Leaves 40g","AED 13.27 per Kilo","1",".99","","","https://www.carrefouruae.com/mafuae/en/fresh-herbs/spring-onion-herbs-premium-200g/p/1207521","Premium Spring Onion 200g","2",".89","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tom. 10:00 AM","","","https://www.carrefouruae.com/mafuae/en/fresh-herbs/mint-herbs-premium-200g/p/1207519","Premium Mint (Pudina)","3",".29","",""
"","BESTSELLER","","","","https://www.carrefouruae.com/mafuae/en/fresh-herbs/dill-sabat/p/1711005","Fresh Dill (Sabat)","AED 249.50 per Kilo","0",".99","Tom. 10:00 AM","Tom. 10:00 AM","","","","","https://www.carrefouruae.com/mafuae/en/fresh-herbs/radish-red/p/1711009","Fresh Red Radish","AED 14.95 per Kilo","0",".99","","","https://www.carrefouruae.com/mafuae/en/fresh-herbs/rosemary-punnet-pp/p/948110","Fresh Rosemary Ponet 20g","4",".99","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tom. 10:00 AM","","","https://www.carrefouruae.com/mafuae/en/fresh-herbs/basil-pot/p/71100","Basil Pot","2",".99","",""
"https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png","LOW PRICES","","","","https://www.carrefouruae.com/mafuae/en/fresh-herbs/pargo-barbeer/p/1711002","Fresh Barbeer (Pargo)","AED 9.90 per Kilo","0",".99","Tom. 10:00 AM","Tom. 10:00 AM","","","","","https://www.carrefouruae.com/mafuae/en/fresh-herbs/pechay/p/1711000","Fresh Pechay","AED 9.90 per Kilo","0",".99","","","https://www.carrefouruae.com/mafuae/en/fresh-herbs/kang-kong/p/1711004","Fresh Kangkong","0",".99","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tom. 10:00 AM","","","https://www.carrefouruae.com/mafuae/en/fresh-herbs/mint-bunch/p/948104","Mint Herb","0",".89","",""
"","","","","","https://www.carrefouruae.com/mafuae/en/fresh-herbs/mint-pot/p/585902","Fresh Mint Pot","","6",".99","Tom. 10:00 AM","Tom. 10:00 AM","","","","","https://www.carrefouruae.com/mafuae/en/fresh-herbs/methi-helba-fenugrek/p/1711001","Fresh Fenugreek (Methi/Helba)","","2",".59","","","https://www.carrefouruae.com/mafuae/en/fresh-herbs/thyme-punnet-pp/p/1135357","Thyme Punnet 20g","4",".99","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tom. 10:00 AM","","","https://www.carrefouruae.com/mafuae/en/fresh-herbs/radish-white-ruwaid/p/1711013","Fresh White Radish (Ruwaid)","0",".99","",""
"https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png","LOW PRICES","","","","https://www.carrefouruae.com/mafuae/en/fresh-herbs/vine-leaves-grapes-leaves-pp/p/1810193","Grape Vine Leaves Pack 225g","AED 24.95 per Kilo","16",".99","Only 2 left","Tom. 10:00 AM","","","","","https://www.carrefouruae.com/mafuae/en/fresh-herbs/red-cheera-red-salak/p/1711010","Fresh Red Cheera (Red Salak)","","0",".99","","","https://www.carrefouruae.com/mafuae/en/fresh-herbs/hinduba/p/1711006","Fresh Hinduba","0",".99","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tom. 10:00 AM","","","https://www.carrefouruae.com/mafuae/en/fresh-herbs/drumstick-leaves-pc/p/1579908","Drumstick Leaves","4",".99","Only 2 left","Tom. 10:00 AM"
"","","","","","https://www.carrefouruae.com/mafuae/en/fresh-herbs/lemon-grass/p/71182","Lemon Grass Pot","600g - Approx 5 pieces/KG","18",".41","Tom. 10:00 AM","Only 2 left","","","","","https://www.carrefouruae.com/mafuae/en/fresh-herbs/tarragon-30g/p/1727145","Armela Tarragon 30g","","7",".99","","","https://www.carrefouruae.com/mafuae/en/fresh-herbs/mix-herbs-poultry-blend-punnet-30g/p/1536030","Armela Poultry Blend Mixed Herbs 30g","5",".99","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Only 2 left","","","https://www.carrefouruae.com/mafuae/en/fresh-herbs/herbs-bbq-blend-punnet-30g/p/1567579","BBQ Blend Herbs Punnet 30g","5",".99","Tom. 10:00 AM","Tom. 10:00 AM"
"","","","","","https://www.carrefouruae.com/mafuae/en/fresh-herbs/mix-herbs-italian-blend-punnet-30g/p/1561703","Armela Italian Blend Mixed Herbs 30g","","5",".99","Tom. 10:00 AM","Only 2 left","","","","","https://www.carrefouruae.com/mafuae/en/fresh-herbs/molekhia-leaves-500g/p/906978","Molekhia Leaves 500g","","19",".99","","","","","","","","","","","","","","","","",""
"https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png","LOW PRICES","Extra 10% off, code - FOOD10","https://www.carrefouruae.com/mafuae/en/fresh-herbs/mint-herbs-premium-200g/p/1207519","https://cdn.mafrservices.com/sys-master-root/h36/h1a/11155383910430/1207519_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/fresh-herbs/rocket-gargeer/p/1711012","Fresh Rocket Leaves (Gargeer)","AED 9.90 per Kilo","0",".99","Tom. 10:00 AM","Tom. 10:00 AM","BESTSELLER","AED 14.45 per Kilo","https://www.carrefouruae.com/mafuae/en/fresh-herbs/rocket-gargeer/p/1711012","https://cdn.mafrservices.com/sys-master-root/h4d/h53/10096647241758/1711012_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/fresh-herbs/curry-leave-50g-pp/p/447571","Curry Leaves 40g","AED 13.27 per Kilo","1",".99","https://www.carrefouruae.com/mafuae/en/fresh-herbs/curry-leave-50g-pp/p/447571","https://cdn.mafrservices.com/sys-master-root/he6/hb1/49363781419038/447571_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/fresh-herbs/spring-onion-herbs-premium-200g/p/1207521","Premium Spring Onion 200g","2",".89","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tom. 10:00 AM","https://www.carrefouruae.com/mafuae/en/fresh-herbs/spring-onion-herbs-premium-200g/p/1207521","https://cdn.mafrservices.com/sys-master-root/hc7/h88/10990749712414/1207521_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/fresh-herbs/mint-herbs-premium-200g/p/1207519","Premium Mint (Pudina)","3",".29","",""
"","BESTSELLER","","https://www.carrefouruae.com/mafuae/en/fresh-herbs/basil-pot/p/71100","https://cdn.mafrservices.com/sys-master-root/h97/hb5/51790473461790/71100_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/fresh-herbs/dill-sabat/p/1711005","Fresh Dill (Sabat)","AED 249.50 per Kilo","0",".99","Tom. 10:00 AM","Tom. 10:00 AM","","","https://www.carrefouruae.com/mafuae/en/fresh-herbs/dill-sabat/p/1711005","https://cdn.mafrservices.com/sys-master-root/hb9/hd4/10096636788766/1711005_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/fresh-herbs/radish-red/p/1711009","Fresh Red Radish","AED 14.95 per Kilo","0",".99","https://www.carrefouruae.com/mafuae/en/fresh-herbs/radish-red/p/1711009","https://cdn.mafrservices.com/sys-master-root/h37/hdc/10096636526622/1711009_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/fresh-herbs/rosemary-punnet-pp/p/948110","Fresh Rosemary Ponet 20g","4",".99","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tom. 10:00 AM","https://www.carrefouruae.com/mafuae/en/fresh-herbs/rosemary-punnet-pp/p/948110","https://cdn.mafrservices.com/sys-master-root/h1f/h38/49441466679326/948110_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/fresh-herbs/basil-pot/p/71100","Basil Pot","2",".99","",""
"https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png","LOW PRICES","","https://www.carrefouruae.com/mafuae/en/fresh-herbs/mint-bunch/p/948104","https://cdn.mafrservices.com/pim-content/UAE/media/product/948104/1766141930/948104_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/fresh-herbs/pargo-barbeer/p/1711002","Fresh Barbeer (Pargo)","AED 9.90 per Kilo","0",".99","Tom. 10:00 AM","Tom. 10:00 AM","","","https://www.carrefouruae.com/mafuae/en/fresh-herbs/pargo-barbeer/p/1711002","https://cdn.mafrservices.com/sys-master-root/h81/h92/12096205881374/1711002_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/fresh-herbs/pechay/p/1711000","Fresh Pechay","AED 9.90 per Kilo","0",".99","https://www.carrefouruae.com/mafuae/en/fresh-herbs/pechay/p/1711000","https://cdn.mafrservices.com/sys-master-root/h2c/h6d/10096244064286/1711000_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/fresh-herbs/kang-kong/p/1711004","Fresh Kangkong","0",".99","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tom. 10:00 AM","https://www.carrefouruae.com/mafuae/en/fresh-herbs/kang-kong/p/1711004","https://cdn.mafrservices.com/sys-master-root/h6a/h21/10096243900446/1711004_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/fresh-herbs/mint-bunch/p/948104","Mint Herb","0",".89","",""
"","","","https://www.carrefouruae.com/mafuae/en/fresh-herbs/mint-pot/p/585902","https://cdn.mafrservices.com/sys-master-root/h2f/ha0/49363781976094/585902_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/fresh-herbs/mint-pot/p/585902","Fresh Mint Pot","","6",".99","Tom. 10:00 AM","Tom. 10:00 AM","","","https://www.carrefouruae.com/mafuae/en/fresh-herbs/methi-helba-fenugrek/p/1711001","https://cdn.mafrservices.com/sys-master-root/h6f/h22/10096243998750/1711001_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/fresh-herbs/methi-helba-fenugrek/p/1711001","Fresh Fenugreek (Methi/Helba)","","2",".59","https://www.carrefouruae.com/mafuae/en/fresh-herbs/radish-white-ruwaid/p/1711013","https://cdn.mafrservices.com/sys-master-root/h64/h08/10096646684702/1711013_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/fresh-herbs/thyme-punnet-pp/p/1135357","Thyme Punnet 20g","4",".99","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tom. 10:00 AM","https://www.carrefouruae.com/mafuae/en/fresh-herbs/thyme-punnet-pp/p/1135357","https://cdn.mafrservices.com/sys-master-root/h8a/hc1/14728488452126/1135357_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/fresh-herbs/radish-white-ruwaid/p/1711013","Fresh White Radish (Ruwaid)","0",".99","",""
"https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png","LOW PRICES","","https://www.carrefouruae.com/mafuae/en/fresh-herbs/drumstick-leaves-pc/p/1579908","https://cdn.mafrservices.com/sys-master-root/h9e/hae/49223749697566/1579908_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/fresh-herbs/vine-leaves-grapes-leaves-pp/p/1810193","Grape Vine Leaves Pack 225g","AED 24.95 per Kilo","16",".99","Only 2 left","Tom. 10:00 AM","","","https://www.carrefouruae.com/mafuae/en/fresh-herbs/vine-leaves-grapes-leaves-pp/p/1810193","https://cdn.mafrservices.com/sys-master-root/h39/h9e/62485352775710/1810193_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/fresh-herbs/red-cheera-red-salak/p/1711010","Fresh Red Cheera (Red Salak)","","0",".99","https://www.carrefouruae.com/mafuae/en/fresh-herbs/red-cheera-red-salak/p/1711010","https://cdn.mafrservices.com/sys-master-root/h8e/h4f/10096647110686/1711010_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/fresh-herbs/hinduba/p/1711006","Fresh Hinduba","0",".99","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tom. 10:00 AM","https://www.carrefouruae.com/mafuae/en/fresh-herbs/hinduba/p/1711006","https://cdn.mafrservices.com/sys-master-root/h7d/h10/12111156707358/1711006_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/fresh-herbs/drumstick-leaves-pc/p/1579908","Drumstick Leaves","4",".99","Only 2 left","Tom. 10:00 AM"
"","","","https://www.carrefouruae.com/mafuae/en/fresh-herbs/herbs-bbq-blend-punnet-30g/p/1567579","https://cdn.mafrservices.com/sys-master-root/hde/hb0/51327963627550/1567579_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/fresh-herbs/lemon-grass/p/71182","Lemon Grass Pot","600g - Approx 5 pieces/KG","18",".41","Tom. 10:00 AM","Only 2 left","","","https://www.carrefouruae.com/mafuae/en/fresh-herbs/lemon-grass/p/71182","https://cdn.mafrservices.com/sys-master-root/hb8/h22/13453999210526/71182_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/fresh-herbs/tarragon-30g/p/1727145","Armela Tarragon 30g","","7",".99","https://www.carrefouruae.com/mafuae/en/fresh-herbs/tarragon-30g/p/1727145","https://cdn.mafrservices.com/pim-content/UAE/media/product/1727145/1724756406/1727145_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/fresh-herbs/mix-herbs-poultry-blend-punnet-30g/p/1536030","Armela Poultry Blend Mixed Herbs 30g","5",".99","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Only 2 left","https://www.carrefouruae.com/mafuae/en/fresh-herbs/mix-herbs-poultry-blend-punnet-30g/p/1536030","https://cdn.mafrservices.com/pim-content/UAE/media/product/1536030/1724065204/1536030_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/fresh-herbs/herbs-bbq-blend-punnet-30g/p/1567579","BBQ Blend Herbs Punnet 30g","5",".99","Tom. 10:00 AM","Tom. 10:00 AM"
"","","","","","https://www.carrefouruae.com/mafuae/en/fresh-herbs/mix-herbs-italian-blend-punnet-30g/p/1561703","Armela Italian Blend Mixed Herbs 30g","","5",".99","Tom. 10:00 AM","Only 2 left","","","https://www.carrefouruae.com/mafuae/en/fresh-herbs/mix-herbs-italian-blend-punnet-30g/p/1561703","https://cdn.mafrservices.com/pim-content/UAE/media/product/1561703/1724065204/1561703_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/fresh-herbs/molekhia-leaves-500g/p/906978","Molekhia Leaves 500g","","19",".99","https://www.carrefouruae.com/mafuae/en/fresh-herbs/molekhia-leaves-500g/p/906978","https://cdn.mafrservices.com/pim-content/UAE/media/product/906978/1746794758/906978_main.jpg?im=Resize=(300,300)","","","","","","","","","","","","","","",""